price_obs_id,date,year,quarter,ppi_value,realtime_start,realtime_end
PPI-CHEM-2019Q4,2019-10-01,2019,4,252.3,2026-05-27,2026-05-27
PPI-CHEM-2019Q4,2019-11-01,2019,4,250.9,2026-05-27,2026-05-27
PPI-CHEM-2019Q4,2019-12-01,2019,4,246.9,2026-05-27,2026-05-27
PPI-CHEM-2020Q1,2020-01-01,2020,1,246.3,2026-05-27,2026-05-27
PPI-CHEM-2020Q1,2020-02-01,2020,1,243.0,2026-05-27,2026-05-27
PPI-CHEM-2020Q1,2020-03-01,2020,1,237.9,2026-05-27,2026-05-27
PPI-CHEM-2020Q2,2020-04-01,2020,2,211.0,2026-05-27,2026-05-27
PPI-CHEM-2020Q2,2020-05-01,2020,2,200.0,2026-05-27,2026-05-27
PPI-CHEM-2020Q2,2020-06-01,2020,2,209.0,2026-05-27,2026-05-27
PPI-CHEM-2020Q3,2020-07-01,2020,3,218.2,2026-05-27,2026-05-27
PPI-CHEM-2020Q3,2020-08-01,2020,3,224.3,2026-05-27,2026-05-27
PPI-CHEM-2020Q3,2020-09-01,2020,3,225.8,2026-05-27,2026-05-27
PPI-CHEM-2020Q4,2020-10-01,2020,4,227.7,2026-05-27,2026-05-27
PPI-CHEM-2020Q4,2020-11-01,2020,4,232.4,2026-05-27,2026-05-27
PPI-CHEM-2020Q4,2020-12-01,2020,4,240.0,2026-05-27,2026-05-27
PPI-CHEM-2021Q1,2021-01-01,2021,1,252.9,2026-05-27,2026-05-27
PPI-CHEM-2021Q1,2021-02-01,2021,1,268.9,2026-05-27,2026-05-27
PPI-CHEM-2021Q1,2021-03-01,2021,1,280.3,2026-05-27,2026-05-27
PPI-CHEM-2021Q2,2021-04-01,2021,2,292.2,2026-05-27,2026-05-27
PPI-CHEM-2021Q2,2021-05-01,2021,2,310.7,2026-05-27,2026-05-27
PPI-CHEM-2021Q2,2021-06-01,2021,2,317.0,2026-05-27,2026-05-27
PPI-CHEM-2021Q3,2021-07-01,2021,3,320.632,2026-05-27,2026-05-27
PPI-CHEM-2021Q3,2021-08-01,2021,3,331.731,2026-05-27,2026-05-27
PPI-CHEM-2021Q3,2021-09-01,2021,3,327.495,2026-05-27,2026-05-27
PPI-CHEM-2021Q4,2021-10-01,2021,4,332.831,2026-05-27,2026-05-27
PPI-CHEM-2021Q4,2021-11-01,2021,4,341.449,2026-05-27,2026-05-27
PPI-CHEM-2021Q4,2021-12-01,2021,4,335.607,2026-05-27,2026-05-27
PPI-CHEM-2022Q1,2022-01-01,2022,1,336.391,2026-05-27,2026-05-27
PPI-CHEM-2022Q1,2022-02-01,2022,1,341.778,2026-05-27,2026-05-27
PPI-CHEM-2022Q1,2022-03-01,2022,1,355.017,2026-05-27,2026-05-27
PPI-CHEM-2022Q2,2022-04-01,2022,2,358.784,2026-05-27,2026-05-27
PPI-CHEM-2022Q2,2022-05-01,2022,2,374.198,2026-05-27,2026-05-27
PPI-CHEM-2022Q2,2022-06-01,2022,2,379.442,2026-05-27,2026-05-27
PPI-CHEM-2022Q3,2022-07-01,2022,3,379.705,2026-05-27,2026-05-27
PPI-CHEM-2022Q3,2022-08-01,2022,3,358.093,2026-05-27,2026-05-27
PPI-CHEM-2022Q3,2022-09-01,2022,3,348.66,2026-05-27,2026-05-27
PPI-CHEM-2022Q4,2022-10-01,2022,4,341.677,2026-05-27,2026-05-27
PPI-CHEM-2022Q4,2022-11-01,2022,4,337.539,2026-05-27,2026-05-27
PPI-CHEM-2022Q4,2022-12-01,2022,4,332.219,2026-05-27,2026-05-27
PPI-CHEM-2023Q1,2023-01-01,2023,1,335.513,2026-05-27,2026-05-27
PPI-CHEM-2023Q1,2023-02-01,2023,1,336.439,2026-05-27,2026-05-27
PPI-CHEM-2023Q1,2023-03-01,2023,1,328.228,2026-05-27,2026-05-27
PPI-CHEM-2023Q2,2023-04-01,2023,2,329.065,2026-05-27,2026-05-27
PPI-CHEM-2023Q2,2023-05-01,2023,2,323.285,2026-05-27,2026-05-27
PPI-CHEM-2023Q2,2023-06-01,2023,2,318.053,2026-05-27,2026-05-27
PPI-CHEM-2023Q3,2023-07-01,2023,3,309.811,2026-05-27,2026-05-27
PPI-CHEM-2023Q3,2023-08-01,2023,3,307.044,2026-05-27,2026-05-27
PPI-CHEM-2023Q3,2023-09-01,2023,3,309.362,2026-05-27,2026-05-27
PPI-CHEM-2023Q4,2023-10-01,2023,4,315.741,2026-05-27,2026-05-27
PPI-CHEM-2023Q4,2023-11-01,2023,4,307.009,2026-05-27,2026-05-27
PPI-CHEM-2023Q4,2023-12-01,2023,4,300.512,2026-05-27,2026-05-27
PPI-CHEM-2024Q1,2024-01-01,2024,1,290.946,2026-05-27,2026-05-27
PPI-CHEM-2024Q1,2024-02-01,2024,1,296.303,2026-05-27,2026-05-27
PPI-CHEM-2024Q1,2024-03-01,2024,1,298.28,2026-05-27,2026-05-27
PPI-CHEM-2024Q2,2024-04-01,2024,2,304.241,2026-05-27,2026-05-27
PPI-CHEM-2024Q2,2024-05-01,2024,2,302.777,2026-05-27,2026-05-27
PPI-CHEM-2024Q2,2024-06-01,2024,2,304.175,2026-05-27,2026-05-27
PPI-CHEM-2024Q3,2024-07-01,2024,3,311.657,2026-05-27,2026-05-27
PPI-CHEM-2024Q3,2024-08-01,2024,3,310.822,2026-05-27,2026-05-27
PPI-CHEM-2024Q3,2024-09-01,2024,3,305.13,2026-05-27,2026-05-27
PPI-CHEM-2024Q4,2024-10-01,2024,4,301.007,2026-05-27,2026-05-27
PPI-CHEM-2024Q4,2024-11-01,2024,4,297.41,2026-05-27,2026-05-27
PPI-CHEM-2024Q4,2024-12-01,2024,4,297.471,2026-05-27,2026-05-27
PPI-CHEM-2025Q1,2025-01-01,2025,1,304.99,2026-05-27,2026-05-27
PPI-CHEM-2025Q1,2025-02-01,2025,1,303.418,2026-05-27,2026-05-27
PPI-CHEM-2025Q1,2025-03-01,2025,1,302.18,2026-05-27,2026-05-27
PPI-CHEM-2025Q2,2025-04-01,2025,2,298.46,2026-05-27,2026-05-27
PPI-CHEM-2025Q2,2025-05-01,2025,2,296.627,2026-05-27,2026-05-27
PPI-CHEM-2025Q2,2025-06-01,2025,2,298.54,2026-05-27,2026-05-27
PPI-CHEM-2025Q3,2025-07-01,2025,3,299.062,2026-05-27,2026-05-27
PPI-CHEM-2025Q3,2025-08-01,2025,3,296.554,2026-05-27,2026-05-27
PPI-CHEM-2025Q3,2025-09-01,2025,3,297.075,2026-05-27,2026-05-27
PPI-CHEM-2025Q4,2025-10-01,2025,4,294.666,2026-05-27,2026-05-27
PPI-CHEM-2025Q4,2025-11-01,2025,4,291.847,2026-05-27,2026-05-27
PPI-CHEM-2025Q4,2025-12-01,2025,4,292.404,2026-05-27,2026-05-27
PPI-CHEM-2026Q1,2026-01-01,2026,1,288.852,2026-05-27,2026-05-27
PPI-CHEM-2026Q1,2026-02-01,2026,1,293.859,2026-05-27,2026-05-27
PPI-CHEM-2026Q1,2026-03-01,2026,1,302.843,2026-05-27,2026-05-27
PPI-CHEM-2026Q2,2026-04-01,2026,2,318.19,2026-05-27,2026-05-27
